timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
64484,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.4338,0.0000,0.0163,0.0000
133224,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.6120,0.0000,0.4661,0.4375
182420,1.0000,0.5000,0.6875,0.1250,0.1250,nan,0.7815,0.0000,0.7392,0.8125
247212,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.8126,0.0000,0.8130,1.0000
303856,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.8028,0.0000,0.8015,1.0000
360332,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.8169,0.0000,0.8198,1.0000
420644,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.8129,0.0000,0.8156,1.0000
468132,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.8130,0.0000,0.8143,1.0000
528556,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7997,0.0000,0.7930,1.0000
587916,1.0000,0.5000,0.6875,0.3750,0.3750,nan,0.3535,0.0000,0.1030,0.0000
645624,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.3037,0.0000,0.0000,0.0000
699720,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.3043,0.0000,0.0000,0.0000
744268,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.3388,0.0000,0.0000,0.0000
794444,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.2269,0.0000,0.0000,0.0000
858844,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.3379,0.0000,0.0000,0.0000
907648,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7305,0.0000,0.6931,1.0000
970844,1.0000,0.5000,0.6875,0.1875,0.1875,nan,0.6706,0.0000,0.5962,0.8125
1021972,1.0000,0.5000,0.6875,0.2500,0.2500,nan,0.6926,0.0000,0.6213,0.8125
1080996,1.0000,0.5000,0.6875,0.2500,0.2500,nan,0.6549,0.0000,0.4843,0.5000
1139880,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.5877,0.0000,0.2689,0.1875
1199940,1.0000,0.5000,0.6875,0.3125,0.3125,nan,0.6589,0.0000,0.5129,0.6250
1247708,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7131,0.0000,0.6674,1.0000
1293348,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5897,0.0000,0.1015,0.0625
1353016,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5933,0.0000,0.1105,0.0625
1400672,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5887,0.0000,0.1021,0.0625
1454712,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5902,0.0000,0.1014,0.0625
1505420,1.0000,0.5000,0.6875,0.0625,0.0625,nan,0.7724,0.0000,0.7326,0.7500
1558844,1.0000,0.5000,0.6875,0.3125,0.3125,nan,0.8346,0.0000,0.7733,0.3750
1619912,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.7832,0.0000,0.6827,0.1875
1675100,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.8293,0.0000,0.7623,0.2500
1723120,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7840,0.0000,0.7328,0.4375
1774304,1.0000,0.5000,0.6875,0.1250,0.1250,nan,0.7632,0.0000,0.6512,0.1875
1820476,1.0000,0.5000,0.6875,0.8750,0.8750,nan,0.6791,0.0000,0.6673,0.4375
1864604,1.0000,0.5000,0.6875,0.8750,0.8750,nan,0.8562,0.0000,0.8235,0.0625
1914332,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.5448,0.0000,0.0973,0.0625
1974420,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.7893,0.0000,0.7468,0.4375
2029664,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.5035,0.0000,0.0881,0.0000
2090788,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5200,0.0000,0.1327,0.0000
2158604,1.0000,0.5000,0.6875,0.6875,0.6875,nan,0.7735,0.0000,0.7251,0.1250
2212056,1.0000,0.5000,0.6875,0.6250,0.6250,nan,0.7776,0.0000,0.6920,0.1250
2266740,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7776,0.0000,0.7592,1.0000
2318876,1.0000,0.5000,0.6875,0.0000,0.0000,nan,0.7599,0.0000,0.7458,1.0000
2361716,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.7886,0.0000,0.7409,0.4375
2411836,1.0000,0.5000,0.6875,0.3125,0.3125,nan,0.6148,0.0000,0.2281,0.0625
2474500,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.8331,0.0000,0.7653,0.1250
2522856,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.7999,0.0000,0.7143,0.1875
2576448,1.0000,0.5000,0.6875,0.6250,0.6250,nan,0.6245,0.0000,0.4339,0.0625
2626792,1.0000,0.5000,0.6875,0.3750,0.3750,nan,0.5848,0.0000,0.2202,0.0625
2678200,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.6950,0.0000,0.4534,0.0625
2726164,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.6414,0.0000,0.2953,0.0625
2776200,1.0000,0.5000,0.6875,0.5000,0.5000,nan,0.7108,0.0000,0.5250,0.0000
2821924,1.0000,0.5000,0.6875,0.5625,0.5625,nan,0.5860,0.0000,0.1572,0.0625
2879884,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.6943,0.0000,0.4480,0.1250
2941736,1.0000,0.5000,0.6875,0.3125,0.3125,nan,0.7164,0.0000,0.5086,0.0625
2996728,1.0000,0.5000,0.6875,0.4375,0.4375,nan,0.4733,0.0000,0.1425,0.1250
