timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
78960,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.3155,0.0000,0.0026,0.0000
131796,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6564,0.0000,0.5595,0.5000
198716,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7140,0.0000,0.5969,1.0000
255892,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5384,0.0000,0.0567,0.0000
312228,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5147,0.0000,0.1503,0.0000
376572,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5869,0.0000,0.4425,1.0000
447944,1.0000,0.5000,0.0000,1.0000,1.0000,nan,0.7479,0.0000,0.6103,0.0000
513436,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7980,0.0000,0.7358,1.0000
582148,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.6669,0.0000,0.5395,0.5000
651728,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6344,0.0000,0.4751,0.5000
716072,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5725,0.0000,0.4544,1.0000
782712,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5284,0.0000,0.3384,0.5000
853916,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7461,0.0000,0.6594,0.5000
918568,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7675,0.0000,0.6818,0.0000
982520,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.6389,0.0000,0.4238,0.5000
1044904,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.6359,0.0000,0.4602,0.5000
1121512,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.6236,0.0000,0.4280,0.5000
1177792,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5490,0.0000,0.1662,0.0000
1238972,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6501,0.0000,0.4927,0.5000
1315972,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5424,0.0000,0.1507,0.0000
1382556,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5131,0.0000,0.1086,0.0000
1428504,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5939,0.0000,0.2144,0.0000
1494724,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.6071,0.0000,0.4072,0.5000
1572172,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7677,0.0000,0.6713,0.5000
1639344,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7867,0.0000,0.7005,1.0000
1703408,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7953,0.0000,0.7190,1.0000
1756804,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.8006,0.0000,0.7278,1.0000
1824564,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7535,0.0000,0.6654,1.0000
1906100,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7593,0.0000,0.6699,1.0000
1973860,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7512,0.0000,0.6586,1.0000
2027116,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7648,0.0000,0.6887,0.5000
2092608,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7627,0.0000,0.6773,1.0000
2158436,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7567,0.0000,0.6674,1.0000
2238208,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7637,0.0000,0.6815,1.0000
2316132,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7334,0.0000,0.5640,0.5000
2388092,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.7499,0.0000,0.6557,1.0000
2455824,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.7504,0.0000,0.6654,1.0000
2529268,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6915,0.0000,0.5291,0.0000
2605344,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6267,0.0000,0.4281,0.5000
2680020,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5603,0.0000,0.3410,0.5000
2741844,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5521,0.0000,0.3234,0.5000
2808820,1.0000,0.5000,0.0000,0.0000,0.0000,nan,0.5279,0.0000,0.2928,0.0000
2892736,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.5661,0.0000,0.2829,0.0000
2969540,1.0000,0.5000,0.0000,0.5000,0.5000,nan,0.6386,0.0000,0.4015,0.0000
