timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
313124,0.8750,0.1250,0.1250,0.1875,0.2143,nan,0.5990,0.0000,0.7667,0.0000
663320,0.8750,0.1250,0.1250,0.1250,0.1429,nan,0.5897,0.0000,0.7873,0.0000
990920,0.8750,0.1250,0.1250,0.3125,0.3571,nan,0.7182,0.0000,0.9579,0.0000
1321516,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.7194,0.0000,0.9164,0.0625
1668940,0.8750,0.1250,0.1250,0.0625,0.0714,nan,0.8240,0.0000,0.9677,0.0000
2009756,0.8750,0.1250,0.1250,0.1250,0.1429,nan,0.4504,0.0000,0.5183,0.0625
