timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
81452,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5053,0.0000,0.6500,0.0625
144956,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.7274,0.0000,0.9129,0.0000
217308,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.6941,0.0000,0.8570,0.0000
298032,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.7183,0.0000,0.9131,0.1250
405524,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.6286,0.0000,0.8144,0.5000
