timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
79408,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5555,0.0000,0.8384,0.0000
80864,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.4188,0.0000,0.6623,0.1250
163436,0.8125,0.0625,0.0625,0.1250,0.1538,nan,0.8661,0.0000,0.9998,0.3125
245700,0.8125,0.0625,0.0625,0.1875,0.1538,nan,0.8097,0.0000,0.9998,0.0625
72968,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.9189,0.0000,1.0000,0.3125
155316,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.8042,0.0000,1.0000,0.1875
227080,0.8125,0.0625,0.0625,0.1250,0.0769,nan,0.7034,0.0000,1.0000,0.0625
299488,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.8329,0.0000,1.0000,0.1875
400036,0.8125,0.0625,0.0625,0.2500,0.2308,nan,0.6107,0.0000,0.9930,0.0000
