timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
71456,0.8125,0.0625,0.0625,0.1250,0.0769,nan,0.7080,0.0000,1.0000,0.1250
149688,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.6312,0.0000,0.7954,0.0625
53200,0.8125,0.0625,0.0625,0.1250,0.1538,nan,0.5774,0.0000,0.8908,0.1250
118692,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5340,0.0000,0.8167,0.7500
189728,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.5083,0.0000,0.7693,0.5000
250208,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5410,0.0000,0.7867,0.3750
326284,0.8125,0.0625,0.0625,0.1250,0.0769,nan,0.7312,0.0000,0.9217,0.2500
398944,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5250,0.0000,0.7806,0.0000
