timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
59948,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.7272,0.0000,0.8915,0.1250
124012,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.6765,0.0000,0.9071,0.1875
201768,0.8125,0.0625,0.0625,0.2500,0.3077,nan,0.6852,0.0000,0.9555,0.0000
251328,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.5252,0.0000,0.8293,0.0625
53060,0.8125,0.0625,0.0625,0.1250,0.0769,nan,0.7349,0.0000,0.9670,0.1250
141708,0.8125,0.0625,0.0625,0.0625,0.0769,nan,0.4872,0.0000,0.7415,0.1250
192276,0.8125,0.0625,0.0625,0.1250,0.1538,nan,0.5610,0.0000,0.8996,0.0625
255164,0.8125,0.0625,0.0625,0.1250,0.1538,nan,0.5458,0.0000,0.8297,0.0625
345156,0.8125,0.0625,0.0625,0.0000,0.0000,nan,0.6147,0.0000,0.7914,0.1875
