timestep,correct_full,correct_random,correct_kv_norm,correct_learned,retention,evict_attn_percentile,evict_mean_pos_frac,evict_sink_frac,evict_generated_frac,truncation_rate
52388,1.0000,0.5625,0.6875,0.0625,0.0625,nan,0.7884,0.0000,0.8077,1.0000
119000,1.0000,0.5625,0.6875,0.0000,0.0000,nan,0.7453,0.0000,0.7156,1.0000
173376,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.7896,0.0000,0.8080,0.8125
241640,1.0000,0.5625,0.6875,0.3750,0.3750,nan,0.3780,0.0000,0.0010,0.0000
306712,1.0000,0.5625,0.6875,0.1250,0.1250,nan,0.6983,0.0000,0.6485,0.8750
